Team,Vs,Away Starter,Home Starter,FIELD,Game Result,Runs Scr,Runs Alw,Margin,Money Line,O/U Result,O/U Line,O/U Odds,Results on the ML,Results on the Over,Results on the Under
Atlanta,@ FLA,Tommy Hanson (R),Nate Robertson (L),AWAY,W,7,3,4,-142,O,8.5,110,0.70,1.10,-1.00
Atlanta,@ FLA,Kenshin Kawakami (R),Anibal Sanchez (R),AWAY,L,4,6,-2,114,O,9,-101,-1.00,0.99,-1.00
Atlanta,@ PIT,Kris Medlen (R),Zach Duke (L),AWAY,L,2,3,-1,-126,U,8.5,-128,-1.00,-1.00,0.78
Atlanta,@ PIT,Derek Lowe (R),Charlie Morton (R),AWAY,W,4,2,2,-145,U,9,-120,0.69,-1.00,0.83
Atlanta,@ PIT,Tim Hudson (R),Ross Ohlendorf (R),AWAY,W,7,0,7,-148,U,8.5,-111,0.68,-1.00,0.90
Atlanta,CIN,Mike Leake (R),Tommy Hanson (R),HOME,W,10,9,1,-164,O,7.5,109,0.61,1.09,-1.00
Atlanta,CIN,Aaron Harang (R),Kenshin Kawakami (R),HOME,W,5,4,1,-118,O,8.5,-106,0.85,0.94,-1.00
Atlanta,NYM,Johan Santana (L),Kris Medlen (R),HOME,W,3,2,1,-105,U,7.5,-104,0.95,-1.00,0.96
Atlanta,NYM,Michael Pelfrey (R),Derek Lowe (R),HOME,L,2,3,-1,-152,U,8.5,-110,-1.00,-1.00,0.91
Atlanta,ARI,Dan Haren (R),Tim Hudson (R),HOME,W,13,1,12,-123,O,8,113,0.81,1.13,-1.00
Atlanta,ARI,Rodrigo Lopez (R),Tommy Hanson (R),HOME,L,1,11,-10,-195,O,8,-110,-1.00,0.91,-1.00
Atlanta,ARI,Ian Kennedy (R),Kenshin Kawakami (R),HOME,W,6,5,1,-126,O,9,-107,0.79,0.93,-1.00
Atlanta,@ MIL,Derek Lowe (R),Yovani Gallardo (R),AWAY,W,9,2,7,154,O,8.5,101,1.54,1.01,-1.00
Atlanta,@ MIL,Tim Hudson (R),David Bush (R),AWAY,W,11,3,8,-127,O,9,102,0.79,1.02,-1.00
Atlanta,@ MIL,Tommy Hanson (R),Doug Davis (L),AWAY,W,8,2,6,-131,O,8.5,-107,0.76,0.93,-1.00
Atlanta,@ PHI,Kenshin Kawakami (R),Cole Hamels (L),AWAY,L,3,5,-2,186,U,9,-102,-1.00,-1.00,0.98
Atlanta,@ PHI,Kris Medlen (R),Joe Blanton (R),AWAY,W,4,1,3,140,U,10,-110,1.40,-1.00,0.91
Atlanta,@ PHI,Derek Lowe (R),Jamie Moyer (L),AWAY,L,0,7,-7,117,U,10,-123,-1.00,-1.00,0.81
Atlanta,@ WAS,Tim Hudson (R),Scott Olsen (L),AWAY,L,2,3,-1,-126,U,8.5,-111,-1.00,-1.00,0.90
Atlanta,@ WAS,Tommy Hanson (R),Luis Atilano (R),AWAY,W,7,6,1,-158,O,8,-113,0.63,0.88,-1.00
Atlanta,@ WAS,Kenshin Kawakami (R),Livan Hernandez (R),AWAY,L,3,6,-3,-113,P,9,9 -,-1.00,0.00,0.00
Atlanta,HOU,Bud Norris (R),Derek Lowe (R),HOME,W,7,1,6,-172,U,9,-123,0.58,-1.00,0.81
Atlanta,HOU,Wandy Rodriguez (L),Tim Hudson (R),HOME,W,10,1,9,-154,O,8,-110,0.65,0.91,-1.00
Atlanta,HOU,Brett Myers (R),Tommy Hanson (R),HOME,W,4,2,2,-210,U,8,-114,0.48,-1.00,0.88
Atlanta,@ STL,Jair Jurrjens (R),Adam Wainwright (R),AWAY,L,4,10,-6,155,O,7,-108,-1.00,0.93,-1.00
Atlanta,@ STL,Kenshin Kawakami (R),Jaime Garcia (L),AWAY,L,0,6,-6,142,U,8.5,102,-1.00,-1.00,1.02
Atlanta,@ STL,Derek Lowe (R),Chris Carpenter (R),AWAY,L,4,5,-1,164,O,7.5,-124,-1.00,0.81,-1.00
Atlanta,@ STL,Tim Hudson (R),Kyle Lohse (R),AWAY,L,3,4,-1,-107,U,8,102,-1.00,-1.00,1.02
Atlanta,@ NYM,Tommy Hanson (R),Michael Pelfrey (R),AWAY,L,0,1,-1,-116,U,7,-105,-1.00,-1.00,0.95
Atlanta,@ NYM,Jair Jurrjens (R),Jonathon Niese (L),AWAY,L,1,3,-2,-126,U,8.5,-118,-1.00,-1.00,0.85
Atlanta,@ NYM,Kenshin Kawakami (R),John Maine (R),AWAY,L,2,5,-3,-123,U,8.5,-102,-1.00,-1.00,0.98
Atlanta,PHI,Jamie Moyer (L),Derek Lowe (R),HOME,L,3,8,-5,-151,O,9.5,114,-1.00,1.14,-1.00
Atlanta,PHI,Roy Halladay (R),Tim Hudson (R),HOME,L,0,2,-2,138,U,7.5,-105,-1.00,-1.00,0.95
Atlanta,PHI,Kyle Kendrick (R),Tommy Hanson (R),HOME,W,4,3,1,-156,U,8.5,112,0.64,-1.00,1.12
Atlanta,COL,Greg Smith (L),Jair Jurrjens (R),HOME,W,4,3,1,-136,U,9,-117,0.74,-1.00,0.85
Atlanta,COL,Ubaldo Jimenez (R),Kenshin Kawakami (R),HOME,L,0,4,-4,117,U,8,-101,-1.00,-1.00,0.99
Atlanta,COL,Jason Hammel (R),Derek Lowe (R),HOME,W,9,5,4,-132,O,8.5,-112,0.76,0.89,-1.00
Atlanta,@ SD,Tim Hudson (R),Mat Latos (R),AWAY,W,6,2,4,-121,O,7,102,0.83,1.02,-1.00
Atlanta,@ SD,Tommy Hanson (R),Clayton Richard (L),AWAY,W,6,1,5,-131,P,7,7 -,0.76,0.00,0.00
Atlanta,@ SD,Jair Jurrjens (R),Kevin Correia (R),AWAY,L,2,17,-15,-124,O,7,-111,-1.00,0.90,-1.00
Atlanta,@ SF,Kenshin Kawakami (R),Tim Lincecum (R),AWAY,L,3,6,-3,169,O,7,102,-1.00,1.02,-1.00
Atlanta,@ SF,Derek Lowe (R),Todd Wellemeyer (R),AWAY,W,7,2,5,-116,P,9,9 -,0.86,0.00,0.00
Atlanta,@ SF,Tim Hudson (R),Jonathan Sanchez (L),AWAY,L,4,5,-1,110,O,8,100,-1.00,1.00,-1.00
Atlanta,CHC,Randy Wells (R),Tommy Hanson (R),HOME,L,0,2,-2,-175,U,8,-116,-1.00,-1.00,0.86
Atlanta,CHC,Ryan Dempster (R),Jair Jurrjens (R),HOME,W,3,2,1,-143,U,8,100,0.70,-1.00,1.00
Atlanta,CHC,Carlos Zambrano (R),Derek Lowe (R),HOME,W,16,5,11,-124,O,8.5,101,0.81,1.01,-1.00
Miami,PIT,Brian Burres (L),Anibal Sanchez (R),HOME,W,5,2,3,-182,U,8.5,-101,0.55,-1.00,0.99
Miami,PIT,Charlie Morton (R),Jorge Sosa (R),HOME,W,2,0,2,-127,U,9.5,-123,0.79,-1.00,0.81
Miami,PIT,Daniel McCutchen (R),Adalberto Mendez (R),HOME,L,1,5,-4,-148,U,9.5,-125,-1.00,-1.00,0.80
Miami,PIT,Zach Duke (L),Christopher Volstad (R),HOME,W,11,9,2,-173,O,8.5,-117,0.58,0.85,-1.00
Miami,@ ATL,Andrew Miller (L),Derek Lowe (R),AWAY,L,1,5,-4,200,U,8.5,-106,-1.00,-1.00,0.94
Miami,@ ATL,Anibal Sanchez (R),Tim Hudson (R),AWAY,L,2,3,-1,161,U,7,101,-1.00,-1.00,1.01
Miami,@ ATL,Alex Sanabia (R),Tommy Hanson (R),AWAY,L,1,2,-1,185,U,8,-118,-1.00,-1.00,0.85
Miami,@ MIL,Adalberto Mendez (R),Chris Capuano (L),AWAY,L,1,7,-6,146,U,9,-127,-1.00,-1.00,0.79
Miami,@ MIL,Christopher Volstad (R),Christopher Narveson (L),AWAY,W,4,0,4,137,U,9,-113,1.37,-1.00,0.88
Miami,@ MIL,Andrew Miller (L),Mark Rogers (R),AWAY,L,2,6,-4,144,U,10.5,-108,-1.00,-1.00,0.93
Miami,@ MIL,Anibal Sanchez (R),Yovani Gallardo (R),AWAY,L,3,8,-5,162,O,7.5,-103,-1.00,0.97,-1.00
Miami,NYM,Jonathon Niese (L),Alex Sanabia (R),HOME,W,7,5,2,-115,O,8,-101,0.87,0.99,-1.00
Miami,NYM,Michael Pelfrey (R),Adalberto Mendez (R),HOME,W,5,2,3,-107,U,8,108,0.93,-1.00,1.08
Miami,STL,Chris Carpenter (R),Christopher Volstad (R),HOME,W,4,0,4,147,U,8,105,1.47,-1.00,1.05
Miami,CHC,Jeff Samardzija (R),Andrew Miller (L),HOME,L,3,13,-10,-126,O,9.5,111,-1.00,1.11,-1.00
Miami,CHC,Casey Coleman (R),Anibal Sanchez (R),HOME,L,3,5,-2,-159,U,8.5,-116,-1.00,-1.00,0.86
Miami,CHC,Ryan Dempster (R),Alex Sanabia (R),HOME,L,0,2,-2,100,U,8,-116,-1.00,-1.00,0.86
Miami,PHI,Roy Halladay (R),Jorge Sosa (R),HOME,L,5,10,-5,222,O,8,-114,-1.00,0.88,-1.00
Miami,PHI,Cole Hamels (L),Adalberto Mendez (R),HOME,L,1,2,-1,144,U,8,-102,-1.00,-1.00,0.98
Miami,PHI,Joe Blanton (R),Andrew Miller (L),HOME,L,4,11,-7,127,O,9.5,-105,-1.00,0.95,-1.00
Miami,@ WAS,Christopher Volstad (R),Jordan Zimmermann (R),AWAY,W,6,5,1,132,O,8.5,111,1.32,1.11,-1.00
Miami,@ WAS,Anibal Sanchez (R),Jason Marquis (R),AWAY,W,4,1,3,-111,U,8.5,-111,0.90,-1.00,0.90
Miami,@ WAS,Alex Sanabia (R),John Lannan (L),AWAY,W,3,1,2,113,U,8.5,-110,1.13,-1.00,0.91
Miami,@ PHI,Andrew Miller (L),Cole Hamels (L),AWAY,L,6,10,-4,230,O,9,100,-1.00,1.00,-1.00
Miami,@ PHI,Christopher Volstad (R),Joe Blanton (R),AWAY,L,7,8,-1,155,O,10,-103,-1.00,0.97,-1.00
Miami,@ PHI,Anibal Sanchez (R),Roy Oswalt (R),AWAY,L,4,7,-3,175,O,8,109,-1.00,1.09,-1.00
Miami,@ PHI,Adalberto Mendez (R),Vance Worley (R),AWAY,W,7,1,6,157,U,10,-105,1.57,-1.00,0.95
Miami,ATL,Mike Minor (L),Alex Sanabia (R),HOME,W,7,6,1,112,O,8.5,-105,1.12,0.95,-1.00
Miami,ATL,Jair Jurrjens (R),Josh Johnson (R),HOME,L,0,2,-2,-154,U,7,-114,-1.00,-1.00,0.88
Miami,ATL,Kenshin Kawakami (R),Andrew Miller (L),HOME,W,6,1,5,112,U,9.5,-106,1.12,-1.00,0.94
Miami,WAS,Scott Olsen (L),Christopher Volstad (R),HOME,W,16,10,6,-148,O,8.5,-104,0.68,0.96,-1.00
Miami,WAS,Jordan Zimmermann (R),Anibal Sanchez (R),HOME,W,1,0,1,-153,U,8.5,-116,0.65,-1.00,0.86
Miami,WAS,Jason Marquis (R),Alex Sanabia (R),HOME,L,3,9,-6,-155,O,8.5,-116,-1.00,0.86,-1.00
Miami,@ ATL,Josh Johnson (R),Derek Lowe (R),AWAY,L,6,7,-1,-106,O,7.5,102,-1.00,1.02,-1.00
Miami,@ ATL,Ricky Nolasco (R),Tim Hudson (R),AWAY,L,3,12,-9,164,O,7.5,113,-1.00,1.13,-1.00
Miami,@ ATL,Christopher Volstad (R),Tommy Hanson (R),AWAY,W,7,1,6,182,P,8,8 -,1.82,0.00,0.00
Miami,@ NYM,Anibal Sanchez (R),Jonathon Niese (L),AWAY,W,11,4,7,119,O,7.5,120,1.19,1.20,-1.00
Miami,@ NYM,Alex Sanabia (R),Patrick Misch (L),AWAY,W,5,4,1,-107,O,8,102,0.93,1.02,-1.00
Miami,@ NYM,Josh Johnson (R),R.A. Dickey (R),AWAY,L,5,6,-1,-107,O,6.5,103,-1.00,1.03,-1.00
Miami,HOU,Nelson Figueroa (R),Andrew Miller (L),HOME,L,1,2,-1,-119,U,9,-120,-1.00,-1.00,0.83
Miami,HOU,Wandy Rodriguez (L),Christopher Volstad (R),HOME,W,6,3,3,-132,O,8,100,0.76,1.00,-1.00
Miami,HOU,J.A. Happ (L),Anibal Sanchez (R),HOME,W,9,0,9,-178,O,7.5,-115,0.56,0.87,-1.00
Miami,@ PIT,Alex Sanabia (R),Paul Maholm (L),AWAY,W,4,2,2,-102,U,8.5,109,0.98,-1.00,1.09
Miami,@ PIT,Josh Johnson (R),Ross Ohlendorf (R),AWAY,W,3,2,1,-163,U,7,-101,0.61,-1.00,0.99
Miami,@ PIT,Ricky Nolasco (R),Zach Duke (L),AWAY,W,6,0,6,-132,U,8,101,0.76,-1.00,1.01
Miami,@ PIT,Christopher Volstad (R),James McDonald (R),AWAY,L,1,7,-6,-109,U,8.5,111,-1.00,-1.00,1.11
Miami,@ CIN,Anibal Sanchez (R),Homer Bailey (R),AWAY,L,0,2,-2,113,U,9.5,-121,-1.00,-1.00,0.83
Miami,@ CIN,Sean West (L),Mike Leake (R),AWAY,L,4,5,-1,158,U,9.5,104,-1.00,-1.00,1.04
Miami,@ CIN,Josh Johnson (R),Edinson Volquez (R),AWAY,L,2,7,-5,-131,O,7.5,100,-1.00,1.00,-1.00
Miami,@ WAS,Ricky Nolasco (R),Livan Hernandez (R),AWAY,W,5,0,5,-108,U,8,-105,0.93,-1.00,0.95
Miami,@ WAS,Christopher Volstad (R),Scott Olsen (L),AWAY,W,9,5,4,100,O,9.5,-111,1.00,0.90,-1.00
Miami,@ WAS,Anibal Sanchez (R),Stephen Strasburg (R),AWAY,W,8,2,6,169,O,7,-115,1.69,0.87,-1.00
Miami,STL,Jake Westbrook (R),Josh Johnson (R),HOME,W,5,4,1,-162,O,6.5,-107,0.62,0.93,-1.00
Miami,STL,Adam Wainwright (R),Ricky Nolasco (R),HOME,L,0,7,-7,117,O,6.5,-108,-1.00,0.93,-1.00
Miami,PHI,Roy Oswalt (R),Christopher Volstad (R),HOME,L,4,5,-1,112,O,7.5,-110,-1.00,0.91,-1.00
Miami,PHI,Kyle Kendrick (R),Anibal Sanchez (R),HOME,L,2,7,-5,-132,O,8.5,111,-1.00,1.11,-1.00
Miami,PHI,Roy Halladay (R),Sean West (L),HOME,L,1,6,-5,173,U,7.5,-116,-1.00,-1.00,0.86
Miami,@ SD,Josh Johnson (R),Jon Garland (R),AWAY,L,4,5,-1,-140,O,6.5,110,-1.00,1.10,-1.00
Miami,@ SD,Ricky Nolasco (R),Kevin Correia (R),AWAY,W,6,3,3,108,O,6.5,-111,1.08,0.90,-1.00
Miami,@ SD,Christopher Volstad (R),Wade LeBlanc (L),AWAY,W,4,2,2,137,U,7,110,1.37,-1.00,1.10
Miami,@ SF,Anibal Sanchez (R),Madison Bumgarner (L),AWAY,W,5,0,5,140,U,8,-109,1.40,-1.00,0.92
Miami,@ SF,Alex Sanabia (R),Jonathan Sanchez (L),AWAY,L,9,10,-1,144,O,8,106,-1.00,1.06,-1.00
Miami,@ SF,Josh Johnson (R),Matt Cain (R),AWAY,L,4,6,-2,-113,O,6,-106,-1.00,0.94,-1.00
Miami,@ SF,Ricky Nolasco (R),Barry Zito (L),AWAY,W,4,3,1,115,P,7,7 -,1.15,0.00,0.00
Miami,ATL,Jair Jurrjens (R),Christopher Volstad (R),HOME,W,5,4,1,124,O,8.5,-103,1.24,0.97,-1.00
Miami,ATL,Kris Medlen (R),Anibal Sanchez (R),HOME,L,5,10,-5,106,O,8,-107,-1.00,0.93,-1.00
Miami,ATL,Derek Lowe (R),Alex Sanabia (R),HOME,W,7,6,1,-101,O,8.5,112,0.99,1.12,-1.00
Miami,COL,Jorge De La Rosa (L),Josh Johnson (R),HOME,W,3,2,1,-210,U,7,-113,0.48,-1.00,0.88
Miami,COL,Jason Hammel (R),Ricky Nolasco (R),HOME,W,5,2,3,-111,U,7.5,-103,0.90,-1.00,0.97
Miami,COL,Jeff Francis (L),Nate Robertson (L),HOME,L,0,10,-10,101,O,9.5,106,-1.00,1.06,-1.00
Miami,COL,Ubaldo Jimenez (R),Anibal Sanchez (R),HOME,W,9,8,1,145,O,7,-114,1.45,0.88,-1.00
Miami,WAS,Craig Stammen (R),Alex Sanabia (R),HOME,W,1,0,1,-137,U,9,-105,0.73,-1.00,0.95
Miami,WAS,Livan Hernandez (R),Josh Johnson (R),HOME,W,2,0,2,-243,U,7.5,-111,0.41,-1.00,0.90
Miami,WAS,Stephen Strasburg (R),Ricky Nolasco (R),HOME,L,0,4,-4,107,U,7,-131,-1.00,-1.00,0.76
Miami,@ ARI,Alex Sanabia (R),Barry Enright (R),AWAY,W,2,0,2,-104,U,10.5,-111,0.96,-1.00,0.90
Miami,@ ARI,Nate Robertson (L),Ian Kennedy (R),AWAY,L,4,5,-1,138,U,10.5,-115,-1.00,-1.00,0.87
Miami,@ ARI,Ricky Nolasco (R),Dan Haren (R),AWAY,W,3,2,1,136,U,8.5,-101,1.36,-1.00,0.99
Miami,@ ARI,Anibal Sanchez (R),Rodrigo Lopez (R),AWAY,L,4,10,-6,-113,O,10,-102,-1.00,0.98,-1.00
Miami,@ LA,Josh Johnson (R),Hiroki Kuroda (R),AWAY,W,4,0,4,-115,U,6.5,102,0.87,-1.00,1.02
Miami,@ LA,Christopher Volstad (R),Vicente Padilla (R),AWAY,L,3,7,-4,161,O,8.5,110,-1.00,1.10,-1.00
Miami,@ LA,Nate Robertson (L),John Ely (R),AWAY,W,6,5,1,167,O,8.5,-109,1.67,0.92,-1.00
Miami,@ ATL,Ricky Nolasco (R),Tim Hudson (R),AWAY,W,3,2,1,151,U,7.5,-126,1.51,-1.00,0.79
Miami,@ ATL,Anibal Sanchez (R),Tommy Hanson (R),AWAY,L,1,4,-3,148,U,8,-108,-1.00,-1.00,0.93
Miami,@ ATL,Josh Johnson (R),Kris Medlen (R),AWAY,L,3,4,-1,-113,P,7,7 -,-1.00,0.00,0.00
Miami,NYM,Michael Pelfrey (R),Christopher Volstad (R),HOME,L,5,6,-1,106,O,9.5,107,-1.00,1.07,-1.00
Miami,NYM,Hisanori Takahashi (L),Nate Robertson (L),HOME,W,7,6,1,106,O,10,-130,1.06,0.77,-1.00
Miami,NYM,R.A. Dickey (R),Ricky Nolasco (R),HOME,W,10,3,7,-103,O,8.5,100,0.97,1.00,-1.00
Miami,SD,Mat Latos (R),Anibal Sanchez (R),HOME,L,2,4,-2,-102,U,7.5,-117,-1.00,-1.00,0.85
Miami,SD,Jon Garland (R),Josh Johnson (R),HOME,L,1,2,-1,-200,U,7,-135,-1.00,-1.00,0.74
Miami,SD,Clayton Richard (L),Christopher Volstad (R),HOME,L,0,3,-3,-103,U,8.5,-113,-1.00,-1.00,0.88
Miami,@ BAL,Nate Robertson (L),Kevin Millwood (R),AWAY,L,5,11,-6,-105,O,9.5,-109,-1.00,0.92,-1.00
Miami,@ BAL,Ricky Nolasco (R),Brian Matusz (L),AWAY,W,7,5,2,-114,O,9,-115,0.88,0.87,-1.00
Miami,@ BAL,Anibal Sanchez (R),Jeremy Guthrie (R),AWAY,W,10,4,6,-114,O,8.5,-121,0.88,0.83,-1.00
Miami,TB,David Price (L),Josh Johnson (R),HOME,W,4,1,3,-111,U,7,-108,0.90,-1.00,0.93
Miami,TB,Jeff Niemann (R),Christopher Volstad (R),HOME,L,8,9,-1,134,O,9,-105,-1.00,0.95,-1.00
Miami,TB,Matt Garza (R),Nate Robertson (L),HOME,W,7,4,3,158,O,9,-116,1.58,0.86,-1.00
Miami,TEX,Dustin Nippert (R),Ricky Nolasco (R),HOME,L,4,6,-2,-137,O,9,-107,-1.00,0.93,-1.00
Miami,TEX,Tommy Hunter (R),Anibal Sanchez (R),HOME,L,3,6,-3,-113,O,8.5,-107,-1.00,0.93,-1.00
Miami,TEX,C.J. Wilson (L),Josh Johnson (R),HOME,L,2,3,-1,-156,U,7.5,-104,-1.00,-1.00,0.96
Miami,@ TB,Christopher Volstad (R),Jeff Niemann (R),AWAY,W,6,1,5,196,U,9,105,1.96,-1.00,1.05
Miami,@ TB,Ricky Nolasco (R),Matt Garza (R),AWAY,L,5,6,-1,178,O,8.5,-110,-1.00,0.91,-1.00
Miami,@ TB,Anibal Sanchez (R),James Shields (R),AWAY,W,14,9,5,171,O,8.5,-107,1.71,0.93,-1.00
Miami,@ PHI,Josh Johnson (R),Roy Halladay (R),AWAY,W,2,0,2,149,U,6.5,100,1.49,-1.00,1.00
Miami,@ PHI,Christopher Volstad (R),Kyle Kendrick (R),AWAY,L,8,10,-2,129,O,9.5,105,-1.00,1.05,-1.00
Miami,@ NYM,Ricky Nolasco (R),Hisanori Takahashi (L),AWAY,L,6,7,-1,-101,O,8,-120,-1.00,0.83,-1.00
Miami,@ NYM,Nate Robertson (L),Jonathon Niese (L),AWAY,L,1,6,-5,113,U,9.5,-105,-1.00,-1.00,0.95
Miami,@ NYM,Anibal Sanchez (R),R.A. Dickey (R),AWAY,L,3,4,-1,-104,U,8.5,100,-1.00,-1.00,1.00
Miami,MIL,Chris Capuano (L),Josh Johnson (R),HOME,W,3,2,1,-252,U,8,-111,0.40,-1.00,0.90
Miami,MIL,Yovani Gallardo (R),Christopher Volstad (R),HOME,L,4,7,-3,109,O,8.5,-102,-1.00,0.98,-1.00
Miami,MIL,David Bush (R),Ricky Nolasco (R),HOME,W,6,4,2,-149,O,9,101,0.67,1.01,-1.00
Miami,MIL,Christopher Narveson (L),Nate Robertson (L),HOME,W,13,5,8,-124,O,9.5,-115,0.81,0.87,-1.00
Miami,PHI,Jamie Moyer (L),Anibal Sanchez (R),HOME,W,1,0,1,-132,U,8.5,-101,0.76,-1.00,0.99
Miami,PHI,Roy Halladay (R),Josh Johnson (R),HOME,L,0,1,-1,103,U,6.5,-110,-1.00,-1.00,0.91
Miami,PHI,Kyle Kendrick (R),Christopher Volstad (R),HOME,L,2,3,-1,-110,U,9.5,-119,-1.00,-1.00,0.84
Miami,ATL,Tim Hudson (R),Ricky Nolasco (R),HOME,L,3,8,-5,107,O,8,105,-1.00,1.05,-1.00
Miami,ATL,Tommy Hanson (R),Nate Robertson (L),HOME,L,3,7,-4,134,O,8.5,110,-1.00,1.10,-1.00
Miami,ATL,Kenshin Kawakami (R),Anibal Sanchez (R),HOME,W,6,4,2,-121,O,9,-101,0.83,0.99,-1.00
Miami,@ CHW,Josh Johnson (R),Freddy Garcia (R),AWAY,W,13,0,13,-130,O,8.5,-111,0.77,0.90,-1.00
Miami,@ CHW,Christopher Volstad (R),Gavin Floyd (R),AWAY,L,1,4,-3,120,U,9,-108,-1.00,-1.00,0.93
Miami,@ CHW,Ricky Nolasco (R),Mark Buehrle (L),AWAY,L,0,8,-8,106,P,8,8 -,-1.00,0.00,0.00
Miami,@ STL,Nate Robertson (L),Adam Wainwright (R),AWAY,L,2,4,-2,209,U,7.5,-102,-1.00,-1.00,0.98
Miami,@ STL,Anibal Sanchez (R),Jaime Garcia (L),AWAY,W,5,1,4,156,U,7.5,-107,1.56,-1.00,0.93
Miami,ARI,Billy Buckner (R),Josh Johnson (R),HOME,W,8,0,8,-175,P,8,8 -,0.57,0.00,0.00
Miami,ARI,Edwin Jackson (R),Christopher Volstad (R),HOME,L,1,5,-4,-138,U,9,-104,-1.00,-1.00,0.96
Miami,NYM,Jonathon Niese (L),Ricky Nolasco (R),HOME,W,10,8,2,-164,O,8.5,100,0.61,1.00,-1.00
Miami,NYM,John Maine (R),Nate Robertson (L),HOME,W,7,5,2,-109,O,9.5,102,0.92,1.02,-1.00
Miami,NYM,Oliver Perez (L),Anibal Sanchez (R),HOME,W,7,2,5,-138,P,9,9 -,0.72,0.00,0.00
Miami,NYM,Johan Santana (L),Josh Johnson (R),HOME,W,2,1,1,-130,U,7,-113,0.77,-1.00,0.88
Miami,@ CHC,Christopher Volstad (R),Carlos Silva (R),AWAY,L,3,4,-1,106,U,8,108,-1.00,-1.00,1.08
Miami,@ CHC,Ricky Nolasco (R),Randy Wells (R),AWAY,W,3,2,1,116,U,8.5,-115,1.16,-1.00,0.87
Miami,@ CHC,Nate Robertson (L),Ted Lilly (L),AWAY,W,4,2,2,142,U,9,-112,1.42,-1.00,0.89
Miami,@ WAS,Anibal Sanchez (R),Livan Hernandez (R),AWAY,L,2,3,-1,-111,U,9,-115,-1.00,-1.00,0.87
Miami,@ WAS,Josh Johnson (R),Matt Chico (L),AWAY,L,4,5,-1,-169,O,8.5,-106,-1.00,0.94,-1.00
Miami,@ WAS,Christopher Volstad (R),Craig Stammen (R),AWAY,W,4,2,2,-102,U,9,110,0.98,-1.00,1.10
Miami,SF,Matt Cain (R),Ricky Nolasco (R),HOME,L,3,6,-3,-123,O,7.5,104,-1.00,1.04,-1.00
Miami,SF,Barry Zito (L),Nate Robertson (L),HOME,L,2,3,-1,112,U,8.5,114,-1.00,-1.00,1.14
Miami,SF,Tim Lincecum (R),Anibal Sanchez (R),HOME,L,6,9,-3,155,O,7.5,110,-1.00,1.10,-1.00
Miami,WAS,John Lannan (L),Josh Johnson (R),HOME,W,9,3,6,-212,O,8.5,104,0.47,1.04,-1.00
Miami,WAS,Craig Stammen (R),Christopher Volstad (R),HOME,W,7,1,6,-141,U,9.5,-109,0.71,-1.00,0.92
Miami,WAS,Scott Olsen (L),Ricky Nolasco (R),HOME,L,1,7,-6,-204,U,8.5,-103,-1.00,-1.00,0.97
Miami,SD,Kevin Correia (R),Nate Robertson (L),HOME,L,4,6,-2,-102,O,8.5,-109,-1.00,0.92,-1.00
Miami,SD,Jon Garland (R),Anibal Sanchez (R),HOME,L,1,4,-3,-126,U,9,-103,-1.00,-1.00,0.97
Miami,SD,Mat Latos (R),Josh Johnson (R),HOME,W,10,1,9,-160,O,8,-105,0.63,0.95,-1.00
Miami,@ COL,Christopher Volstad (R),Jorge De La Rosa (L),AWAY,L,4,8,-4,150,O,9.5,-113,-1.00,0.88,-1.00
Miami,@ COL,Nate Robertson (L),Aaron Cook (R),AWAY,L,1,8,-7,139,U,10,-109,-1.00,-1.00,0.92
Miami,@ COL,Ricky Nolasco (R),Greg Smith (L),AWAY,W,4,1,3,108,U,9.5,107,1.08,-1.00,1.07
Miami,@ HOU,Anibal Sanchez (R),Felipe Paulino (R),AWAY,W,5,1,4,-105,U,9.5,-111,0.95,-1.00,0.90
Miami,@ HOU,Josh Johnson (R),Bud Norris (R),AWAY,L,4,5,-1,-146,O,8.5,-107,-1.00,0.93,-1.00
Miami,@ HOU,Christopher Volstad (R),Brett Myers (R),AWAY,L,5,7,-2,-104,O,8.5,-119,-1.00,0.84,-1.00
Miami,@ PHI,Nate Robertson (L),Cole Hamels (L),AWAY,W,2,0,2,173,U,9.5,-110,1.73,-1.00,0.91
Miami,@ PHI,Ricky Nolasco (R),Jamie Moyer (L),AWAY,W,5,1,4,-102,U,10.5,-117,0.98,-1.00,0.85
Miami,@ PHI,Anibal Sanchez (R),Roy Halladay (R),AWAY,L,6,8,-2,269,O,8.5,-105,-1.00,0.95,-1.00
Miami,CIN,Aaron Harang (R),Josh Johnson (R),HOME,W,10,2,8,-148,O,8,-105,0.68,0.95,-1.00
Miami,CIN,Homer Bailey (R),Christopher Volstad (R),HOME,W,5,3,2,-137,U,9,113,0.73,-1.00,1.13
Miami,CIN,Bronson Arroyo (R),Nate Robertson (L),HOME,L,8,10,-2,-116,O,9,-105,-1.00,0.95,-1.00
Miami,CIN,Johnny Cueto (R),Ricky Nolasco (R),HOME,L,5,6,-1,-135,O,7.5,-107,-1.00,0.93,-1.00
Miami,LA,Charlie Haeger (R),Anibal Sanchez (R),HOME,W,6,5,1,-113,O,9,-108,0.88,0.93,-1.00
Miami,LA,Vicente Padilla (R),Josh Johnson (R),HOME,W,7,6,1,-149,O,8.5,-102,0.67,0.98,-1.00
Miami,LA,Hiroki Kuroda (R),Christopher Volstad (R),HOME,L,3,7,-4,112,O,8.5,-110,-1.00,0.91,-1.00
