Team,Vs,Away Starter,Home Starter,FIELD,Game Result,Runs Scr,Runs Alw,Margin,Money Line,O/U Result,O/U Line,O/U Odds,Results on the ML,Results on the Over,Results on the Under
Baltimore,@ CLE,Jake Arrieta (R),Justin Masterson (R),AWAY,W,14,8,6,129,O,9,-106,1.29,0.94,-1.00
Baltimore,CHW,Edwin Jackson (R),Brian Matusz (L),HOME,W,3,2,1,121,U,9,103,1.21,-1.00,1.03
Baltimore,CHW,Mark Buehrle (L),Jeremy Guthrie (R),HOME,W,4,3,1,114,U,8.5,-110,1.14,-1.00,0.91
Baltimore,CHW,Gavin Floyd (R),Kevin Millwood (R),HOME,L,2,4,-2,159,U,9,-106,-1.00,-1.00,0.94
Baltimore,CHW,John Danks (L),Bradley Bergesen (R),HOME,W,2,1,1,151,U,9,-121,1.51,-1.00,0.83
Baltimore,LAA,Dan Haren (R),Jake Arrieta (R),HOME,W,5,4,1,164,P,9,9 -,1.64,0.00,0.00
Baltimore,LAA,Ervin Santana (R),Brian Matusz (L),HOME,W,9,7,2,130,O,9,-105,1.30,0.95,-1.00
Baltimore,LAA,Trevor Bell (R),Jeremy Guthrie (R),HOME,W,6,3,3,-110,U,9.5,-110,0.91,-1.00,0.91
Baltimore,@ KC,Kevin Millwood (R),Bruce Chen (L),AWAY,L,4,5,-1,126,U,10,-118,-1.00,-1.00,0.85
Baltimore,@ KC,Bradley Bergesen (R),Zack Greinke (R),AWAY,L,3,4,-1,206,U,8.5,106,-1.00,-1.00,1.06
Baltimore,@ KC,Jake Arrieta (R),Sean O'Sullivan (R),AWAY,L,5,7,-2,121,O,9.5,-117,-1.00,0.85,-1.00
Baltimore,@ KC,Brian Matusz (L),Kyle Davies (R),AWAY,W,6,5,1,112,O,9.5,102,1.12,1.02,-1.00
Baltimore,@ TOR,Jeremy Guthrie (R),Brad Mills (L),AWAY,L,0,5,-5,136,U,9.5,-106,-1.00,-1.00,0.94
Baltimore,@ TOR,Kevin Millwood (R),Ricky Romero (L),AWAY,L,2,8,-6,207,O,9,-102,-1.00,0.98,-1.00
Baltimore,@ TOR,Bradley Bergesen (R),Brandon Morrow (R),AWAY,L,5,9,-4,190,O,9,-110,-1.00,0.91,-1.00
Baltimore,MIN,Kevin Slowey (R),Jake Arrieta (R),HOME,L,4,10,-6,108,O,9.5,101,-1.00,1.01,-1.00
Baltimore,MIN,Scott Baker (R),Brian Matusz (L),HOME,L,2,7,-5,121,P,9,9 -,-1.00,0.00,0.00
Baltimore,MIN,Brian Duensing (L),Jeremy Guthrie (R),HOME,W,3,2,1,122,U,9.5,100,1.22,-1.00,1.00
Baltimore,MIN,Carl Pavano (R),Kevin Millwood (R),HOME,L,0,5,-5,136,U,9,-105,-1.00,-1.00,0.95
Baltimore,TB,James Shields (R),Bradley Bergesen (R),HOME,L,4,5,-1,200,U,9.5,100,-1.00,-1.00,1.00
Baltimore,TB,Matt Garza (R),Jake Arrieta (R),HOME,W,11,10,1,185,O,9,103,1.85,1.03,-1.00
Baltimore,TB,Wade Davis (R),Chris Tillman (R),HOME,L,1,8,-7,149,U,9.5,-106,-1.00,-1.00,0.94
Baltimore,TOR,Shaun Marcum (R),Brian Matusz (L),HOME,L,1,10,-9,122,O,9,-107,-1.00,0.93,-1.00
Baltimore,TOR,Brandon Morrow (R),Jeremy Guthrie (R),HOME,L,2,3,-1,126,U,9.5,-107,-1.00,-1.00,0.93
Baltimore,TOR,Ricky Romero (L),Bradley Bergesen (R),HOME,L,2,4,-2,132,U,9.5,-105,-1.00,-1.00,0.95
Baltimore,@ TEX,Jake Arrieta (R),C.J. Wilson (L),AWAY,W,4,1,3,219,U,10,100,2.19,-1.00,1.00
Baltimore,@ TEX,Chris Tillman (R),Cliff Lee (L),AWAY,W,6,1,5,348,U,8.5,102,3.48,-1.00,1.02
Baltimore,@ TEX,Brian Matusz (L),Scott Feldman (R),AWAY,W,7,6,1,185,O,10,113,1.85,1.13,-1.00
Baltimore,@ TEX,Jeremy Guthrie (R),Tommy Hunter (R),AWAY,W,6,4,2,232,O,9.5,-104,2.32,0.96,-1.00
Baltimore,@ DET,Bradley Bergesen (R),Max Scherzer (R),AWAY,L,2,4,-2,211,U,9,-105,-1.00,-1.00,0.95
