field,game_result,side_line,line,odds
0,L,-129,8,-118
0,W,109,8.5,-119
0,L,-110,9,-103
0,W,-144,9.5,-115
0,W,-155,9,107
0,L,-240,9,104
0,W,-170,9,106
1,W,-290,10,102
1,W,-244,10,-111
1,W,-283,9,-109
1,W,-191,9,-102
1,L,-242,10,-111
1,W,-124,8.5,-125
1,L,-127,9.5,-104
1,W,-172,8.5,-125
0,W,-252,8,-116
0,L,-110,7,-111
0,W,-187,8.5,-105
0,W,-156,7.5,107
0,W,-120,7.5,-104
0,W,-143,7.5,-109
0,W,-145,8,-114
1,W,-225,9,-111
1,W,-174,8.5,-114
1,L,-179,9.5,-105
1,W,-350,8.5,106
1,L,-153,8,-110
1,L,-159,7.5,104
0,W,-107,7,-101
0,L,106,8.5,110
0,W,-155,8,-107
0,W,-203,10.5,-106
0,W,-126,9.5,112
0,L,-161,10.5,-117
1,W,-183,8.5,101
1,W,-188,8.5,110
1,L,-200,9.5,-105
1,L,-222,10,-102
1,L,-194,10,100
1,W,-111,7.5,101
1,W,-355,9,-109
1,W,-235,9,101
1,W,-239,8.5,-113
0,L,-204,9.5,-115
0,W,-230,9,-102
0,W,-209,8.5,-109
0,W,-130,9.5,-114
0,L,-131,8.5,101
0,L,-127,9,-107
1,W,-320,9.5,-104
1,W,-223,10,-116
1,W,-250,9.5,-114
1,L,-315,9,-106
1,W,-235,9,102
0,L,-107,9,-111
0,W,125,8.5,-121
0,W,-102,9.5,-105
0,L,-137,7,100
0,L,-160,7.5,-111
0,W,-159,9,-108
1,L,-136,9,-110
1,L,-141,9.5,111
1,L,-178,8.5,-108
1,W,-181,9,104
1,L,-136,10.5,110
1,W,-131,9,101
1,W,-166,9,-114
0,L,-120,7.5,-116
0,W,-182,9,-108
0,L,-137,10,-119
0,L,-151,10.5,-105
0,L,103,9,107
0,W,-136,9,107
0,W,-103,9.5,104
1,W,-275,9.5,-109
1,W,-222,9,-108
1,W,-314,9,105
1,W,-200,9.5,113
1,L,-148,9,-109
1,W,-225,9.5,-110
0,W,-150,8.5,-113
0,W,-230,8.5,-102
0,L,-120,9.5,-107
0,W,-123,9.5,-104
0,L,-130,9.5,104
0,L,-176,7.5,-113
0,W,-142,8.5,113
0,W,-152,8.5,112
1,W,-159,9,-114
1,W,-167,9.5,117
1,W,-201,8.5,107
1,W,-159,10,104
1,L,-195,10,-118
1,W,-194,10,100
0,W,-107,9,-105
0,W,-139,9,-117
0,L,-109,9.5,111
0,W,130,10,-106
0,W,128,9.5,101
0,L,111,9,106
1,L,-120,6.5,104
0,W,101,9,-106
0,W,106,8.5,-104
1,L,-130,8.5,-105
1,L,-133,7,-116
0,W,-155,9,-127
0,W,-140,9,-108
0,L,-145,8.5,100
0,L,-125,7.5,111
1,L,-188,9,-107
1,W,-237,7.5,-113
1,L,-167,8.5,-111
1,L,-221,8.5,-115
1,W,-213,8,102
1,W,-190,8.5,-115
0,W,128,8,106
0,W,129,10.5,-121
0,L,125,9.5,-105
0,L,112,9.5,-120
1,W,-235,8,-121
1,L,-155,8.5,-123
1,W,-114,9.5,-115
1,L,-131,8.5,-107
1,W,-122,7.5,-117
0,W,111,8.5,-121
0,W,108,9,-103
0,L,117,9.5,-105
0,W,-121,8.5,-123
0,L,146,8.5,-115
0,L,-157,9.5,111
0,L,-145,8.5,-114
0,W,-184,8.5,-102
1,W,-170,7.5,-108
1,L,-144,8.5,-104
1,W,-140,8.5,-110
1,W,-139,8.5,-107
1,W,-147,7.5,-109
1,L,-139,7,108
0,L,-103,9,103
0,W,-104,8.5,-110
0,W,-136,9,108
0,W,-120,7,-103
0,W,-127,6.5,-111
0,L,-147,7,-123
0,L,122,7.5,105
1,W,-162,9,104
1,W,-161,8,-115
1,W,-108,7,107
1,W,-235,8.5,101
1,W,-179,9,-111
1,L,-192,8.5,104
0,L,100,7.5,-105
0,W,-108,8.5,-108
0,W,-152,8.5,-125
0,L,120,9.5,-102
0,L,-133,9,-112
0,L,-115,8.5,-103
1,L,-149,8.5,-116
1,L,-182,8,-101
1,W,-157,8,-123
1,W,-121,8,-106
1,W,122,8,-118
1,L,-116,8.5,-119
1,W,104,9,-103
1,W,-236,8,-110
1,W,-218,8.5,-107
1,W,-143,7.5,-119
1,W,-180,8,-103
0,W,-134,9,-102
0,L,-151,9,-109
0,W,-214,9.5,100
0,L,-198,9,103
0,W,-159,9.5,-106
0,L,117,8.5,-125
0,W,120,9.5,-104
0,L,161,8.5,-125
1,W,-240,8.5,104
1,W,-245,9,105
1,L,-198,8.5,113
1,W,-198,9,-110
1,W,-177,8.5,111
1,W,-172,9,-116
1,W,-164,8.5,-109
0,W,-112,9.5,-103
0,W,135,8.5,-121
0,L,-118,8,-102
0,W,105,8,-116
0,W,100,9.5,100
0,L,103,9.5,105
1,L,-182,9.5,-117
1,W,-220,8.5,-111
1,L,-180,8.5,-106
1,L,-190,8.5,110
1,L,-138,8,-115
0,L,105,7,-108
0,W,-142,9,-105
0,L,-168,9,-116
0,L,112,8.5,-115
0,L,122,8.5,100
0,W,-130,8.5,-102
1,L,-210,9,105
1,W,-190,8.5,-110
1,L,-182,8.5,-107
1,L,-136,9,-120
1,W,-148,7.5,107
0,W,-134,10,-102
0,L,-140,9.5,101
